ID,Code,Name,Category,Website,Android App,iOS App
1,Alibaba,Alibaba,Shopping,https://www.alibaba.com/,com.alibaba.intl.android.apps.poseidon,id503451073
2,AlibabaCloud,Alibaba Cloud,Tools,https://www.alibabacloud.com/,,
3,Aliexpress,AliExpress,Shopping,https://www.aliexpress.com/,com.alibaba.aliexpresshd,id436672029
4,Alipay,Alipay,Finance,https://global.alipay.com/,com.eg.android.AlipayGphone,id333206289
5,Amazon,Amazon,Shopping,https://www.amazon.com/,,
6,AmazonPay,Amazon Pay,Finance,https://pay.amazon.com/,,
7,Apple,Apple ID,Tools,https://appleid.apple.com/,,
8,As2in1Mobile,As2in1 Mobile,Telecommunications,https://www.as2in1mobile.com/,com.as2in1,id1225896355
9,Baidu,Baidu,Tools,https://www.baidu.com/,,
10,Batchat,BatChat,Telecommunications,https://www.batchat.com/,com.woyue.batchat,id1469353596
11,BigoLive,Bigo Live,Social,https://bigo.tv/,sg.bigo.live,id1077137248
12,Binance,Binance,Finance,https://www.binance.com/,,
13,Blablacar,BlaBlaCar,Transportation,https://www.blablacar.com/,com.comuto,id341329033
14,BlizzardEntertainment,Blizzard Entertainment,Entertainment,https://www.blizzard.com/,,
15,Blockscout,Blockscout,Finance,https://blockscout.com/,,
16,Blued,Blued,Dating,https://www.blued.com/,com.blued.international,id1090274263
17,Bolt,Bolt,Transportation,https://bolt.eu/,ee.mtakso.client,id675033630
18,Bumble,Bumble,Dating,https://bumble.com/,com.bumble.app,id930441707
19,Byjus,BYJU'S,Education,https://byjus.com/,com.byjus.thelearningapp,id1015059076
20,Cabify,Cabify,Transportation,https://cabify.com/,com.cabify.rider,id476087442
21,Careem,Careem,Transportation,https://www.careem.com/,com.careem.acma,id592978487
22,CareemPay,Careem Pay,Finance,https://www.careem.com/careem-pay/,com.careem.acma,id592978487
23,CashApp,Cash App,Finance,https://cash.app/,com.squareup.cash,id711923939
24,Chamet,Chamet,Social,http://www.ichamet.com/,com.hkfuliao.chamet,id1187267564
25,CircleK,Circle K,Shopping,https://www.circlek.com/,com.outsitenetworks.circlek,id566580292
26,Clipclaps,ClipClaps,Social,https://www.clipclaps.com/,com.sanhe.clipclaps,id1331794493
27,Clubhouse,Clubhouse,Social,https://www.joinclubhouse.com/,com.clubhouse.app,id1503133294
28,Coinbase,Coinbase,Finance,https://www.coinbase.com/,com.coinbase.android,id886427730
29,CourseHero,Course Hero,Education,https://www.coursehero.com/,,
30,Cowin,CoWIN,Healthcare,https://www.cowin.gov.in/,,
31,Craigslist,craigslist,Shopping,https://craigslist.org/,org.craigslist.CraigslistMobile,id1336642410
32,Deliveroo,Deliveroo,Shopping,https://deliveroo.com/,com.deliveroo.orderapp,id1001501844
33,Dent,DENT,Telecommunications,https://www.dentwireless.com/,com.dentwireless.dentapp,id1325019276
34,Dhani,Dhani,Shopping,https://www.dhani.com/,com.indiaBulls,id1273192455
35,Didi,DiDi,Transportation,https://www.didiglobal.com/,com.didiglobal.passenger,id1362398401
36,DidiFood,DiDi Food,Shopping,https://www.didi-food.com/,com.xiaojukeji.didi.global.customer,id1434256853
37,Discord,Discord,Telecommunications,https://discord.com/,,
38,DisneyHotstar,Disney+ Hotstar,Entertainment,https://www.hotstar.com/,,
39,Doosra,Doosra,Telecommunications,https://www.doosra.com/,com.ten20infomedia.doosra,id1513242801
40,Dott,Dott,Transportation,https://ridedott.com/,com.ridedott.rider,id1440301673
41,Ebay,eBay,Shopping,https://www.ebay.com/,com.ebay.mobile,id282614216
42,Egifter,eGifter,Shopping,https://www.egifter.com/,com.groupgifting.android,id543236238
43,EmpowerFinance,Empower,Finance,https://empower.me/,finance.empower,id1136397354
44,Facebook,Facebook,Social,https://www.facebook.com/,,
45,Flipkart,Flipkart,Shopping,https://www.flipkart.com/,com.flipkart.android,id742044692
46,Flurv,Flurv,Dating,,com.flurv.android,id308795090
47,Flyp,Flyp,Telecommunications,https://getflyp.com/,flyp.android,id940678351
48,Foodora,foodora,Shopping,https://www.foodora.com/,de.foodora.android,id998930867
49,Foodpanda,Foodpanda,Shopping,https://www.foodpanda.com/,com.global.foodpanda.android,id758103884
50,Frankspeech,FrankSpeech,Entertainment,https://frankspeech.com/,,
51,Gabi,Gabi,Insurance,https://www.gabi.com/,,id1343478075
52,Galaxy,Galaxy,Dating,https://in-galaxy.com/,ru.mobstudio.andgalaxy,id688736068
53,Gameflip,Gameflip,Shopping,https://gameflip.com/,com.ijji.gameflip,id970274077
54,Getir,getir,Shopping,https://getir.com/,com.getir,id995280265
55,Gofundme,GoFundMe,Social,https://www.gofundme.com/,com.GoFundMe.GoFundMe,id734130700
56,Google,Google,Tools,https://www.google.com/,,
57,GoogleCloud,Google Cloud,Tools,https://cloud.google.com/,,
58,GoogleVoice,Google Voice,Telecommunications,https://voice.google.com/,com.google.android.apps.googlevoice,id318698524
59,Gopuff,Gopuff,Shopping,https://gopuff.com/,com.main.gopuff,id722804810
60,Habl,HABL,Social,https://www.hiblocks.io/,io.hiblocks.app,id1478995676
