Date,Messages,DPNs,PSGs
2021-04-20,14473,178,2
2021-04-21,30181,323,4
2021-04-22,30236,355,8
2021-04-23,34489,388,10
2021-04-24,12191,208,10
2021-04-25,19528,290,10
2021-04-26,52549,395,11
2021-04-27,29360,371,12
2021-04-28,57826,487,15
2021-04-29,69516,500,19
2021-04-30,53602,457,21
2021-05-01,10648,274,21
2021-05-02,11780,271,21
2021-05-03,20411,342,21
2021-05-04,32262,443,21
2021-05-05,60292,491,22
2021-05-06,90305,579,24
2021-05-07,9996,415,25
2021-05-08,8862,318,25
2021-05-09,21949,488,25
2021-05-10,103427,586,27
2021-05-11,44405,639,27
2021-05-12,16698,423,27
2021-05-13,51105,644,26
2021-05-14,23779,597,26
2021-05-15,12212,485,26
2021-05-16,28082,565,26
2021-05-17,92043,712,26
2021-05-18,141140,757,26
2021-05-19,84524,724,26
2021-05-20,152907,745,26
2021-05-21,174605,746,26
2021-05-22,169836,691,26
2021-05-23,163255,713,26
2021-05-24,176359,654,26
2021-05-25,186312,696,26
2021-05-26,195173,767,26
2021-05-27,192287,818,26
2021-05-28,180691,889,26
2021-05-29,167702,835,26
2021-05-30,170180,828,26
2021-05-31,172624,840,26
2021-06-01,180857,900,26
2021-06-02,191226,865,26
2021-06-03,181343,858,26
2021-06-04,178237,836,26
2021-06-05,172491,789,26
2021-06-06,172331,773,26
2021-06-07,184007,778,26
2021-06-08,191873,856,26
2021-06-09,199792,878,26
2021-06-10,196758,893,26
2021-06-11,202228,857,26
2021-06-12,182066,887,26
2021-06-13,174124,886,26
2021-06-14,181203,859,26
2021-06-15,178719,860,26
2021-06-16,186391,901,26
2021-06-17,191840,932,26
2021-06-18,179244,970,26
2021-06-19,167756,958,26
2021-06-20,161414,900,26
2021-06-21,113403,881,26
2021-06-22,149854,936,26
2021-06-23,186850,889,26
2021-06-24,201794,872,26
2021-06-25,187118,921,26
2021-06-26,168586,924,26
2021-06-27,166514,909,26
2021-06-28,173491,914,26
2021-06-29,188750,963,26
2021-06-30,178526,940,26
2021-07-01,183857,960,26
2021-07-02,182778,945,27
2021-07-03,181998,960,27
2021-07-04,165662,948,27
2021-07-05,188990,991,26
2021-07-06,191188,857,26
2021-07-07,195618,848,26
2021-07-08,197457,907,26
2021-07-09,184014,915,26
2021-07-10,181164,911,26
2021-07-11,166998,918,26
2021-07-12,186749,937,26
2021-07-13,65129,898,26
2021-07-14,155338,933,26
2021-07-15,190025,949,26
2021-07-16,180011,988,26
2021-07-17,186201,969,26
2021-07-18,185023,961,26
2021-07-19,188654,893,26
2021-07-20,207736,911,26
2021-07-21,230865,778,26
2021-07-22,235316,824,26
2021-07-23,229984,854,26
2021-07-24,233674,778,26
2021-07-25,227220,776,26
2021-07-26,232126,837,26
2021-07-27,235330,657,26
2021-07-28,167174,719,26
2021-07-29,223994,732,26
2021-07-30,221117,684,26
2021-07-31,214641,624,26
2021-08-01,215976,663,26
2021-08-02,228450,645,26
2021-08-03,238005,666,26
2021-08-04,240716,642,26
